r,M,ratio,rho,beta,Phi
1,3865,0.954085,0.001561,33.664,0.1819
2,3850,0.950383,0.00114369,45.967,0.3857
3,3948,0.974574,0.00169858,30.933,0.5617
4,3947,0.974327,0.000725959,72.447,0.7977
5,3986,0.983955,0.000253796,207.325,1.1088
6,4006,0.988892,0.000567911,92.623,1.3623
7,4008,0.989385,0.000374917,140.329,1.6455
8,4004,0.988398,0.0021807,24.083,1.8041
9,4032,0.995310,0.000296408,177.512,2.1042
10,4037,0.996544,0.000127801,411.772,2.4646
11,4039,0.997038,0.000109948,478.641,2.8359
12,4037,0.996544,0.000487874,107.827,3.1003
13,4039,0.997038,0.000207304,253.833,3.4259
14,4038,0.996791,0.000189204,278.121,3.7582
15,4045,0.998519,6.94485e-05,757.798,4.1626
16,4041,0.997531,0.000209641,251.004,4.4875
17,4043,0.998025,0.000306359,171.744,4.7851
18,4039,0.997038,0.000169016,311.347,5.1255
19,4042,0.997778,0.000366954,143.376,5.4102
20,4044,0.998272,0.000141554,371.760,5.7633
21,4040,0.997285,0.000499192,105.381,6.0260
22,4042,0.997778,0.000187445,280.732,6.3589
23,4042,0.997778,0.000305465,172.247,6.6568
24,4045,0.998519,0.000109205,481.899,7.0285
25,4044,0.998272,0.000279048,188.559,7.3329
26,4043,0.998025,0.000125,420.999,7.6950
27,4045,0.998519,0.000307455,171.132,7.9923
28,4040,0.997285,0.000154963,339.587,8.3390
29,4045,0.998519,8.7234e-05,603.285,8.7269
30,4047,0.999013,0.000111269,472.958,9.0973
31,4047,0.999013,0.000129428,406.595,9.4569
32,4047,0.999013,6.3863e-05,824.080,9.8673
33,4046,0.998766,0.000305332,172.322,10.1652
34,4047,0.999013,9.57229e-05,549.780,10.5465
35,4048,0.999259,0.000288969,182.083,10.8483
36,4047,0.999013,8.57493e-05,613.732,11.2375
37,4044,0.998272,0.000356766,147.471,11.5243
38,4046,0.998766,0.000332356,158.306,11.8161
39,4047,0.999013,0.000133131,395.284,12.1736
40,4044,0.998272,0.00014105,373.090,12.5270
41,4046,0.998766,0.000242586,216.908,12.8414
42,4043,0.998025,0.000116093,453.304,13.2087
43,4040,0.997285,0.000188538,279.104,13.5413
44,4041,0.997531,0.000122212,430.604,13.9049
45,4039,0.997038,0.000138486,379.996,14.2596
46,4028,0.994322,0.000283994,185.274,14.5627
47,4031,0.995063,0.000161588,325.663,14.9063
48,4026,0.993829,0.000233528,225.323,15.2234
49,4031,0.995063,0.000847045,62.083,15.4485
50,4010,0.989879,0.00028901,182.057,15.7503
51,4016,0.991360,0.000243265,216.302,16.0645
52,4020,0.992348,0.000222376,236.625,16.3851
53,4013,0.990620,0.000259863,202.483,16.6946
54,4015,0.991113,0.000920326,57.135,16.9137
55,4014,0.990866,0.000214342,245.497,17.2370
56,4012,0.990373,0.000307518,171.097,17.5344
57,4005,0.988645,0.000303411,173.413,17.8327
58,4014,0.990866,0.000256807,204.894,18.1430
59,4006,0.988892,0.000805801,65.263,18.3716
60,3995,0.986176,0.000291723,180.364,18.6728
61,4007,0.989138,0.000307158,171.297,18.9702
62,4013,0.990620,0.000253976,207.178,19.2813
63,4018,0.991854,0.000243427,216.158,19.5955
64,4014,0.990866,0.000702574,74.860,19.8338
65,4021,0.992594,0.000192574,273.253,20.1648
